"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"6117",6117,"25 - 34","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","3","41-50 hours","Neither agree nor disagree","Strongly disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"Yes","Age discrimination"
"6118",6118,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"1st","Somewhat satisfied","Improved slightly","Does not meet original expectations","6","Less than an hour","6","41-50 hours","Somewhat agree","Strongly disagree","No",NA,"Somewhat agree","Prefer not to say","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"6119",6119,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Other, please specify","7 = Extremely satisfied","71-80 hours","Somewhat disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"6120",6120,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,"4th","Very satisfied","Stayed the same","Meets original expectations","5","Between one and three hours","4 = Neither satisfied nor dissatisfied","61-70 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6121",6121,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"Yes","To help make ends meet","2nd","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","51-60 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6122",6122,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Very satisfied","Worsened a little","Does not meet original expectations","5","Less than an hour","1 = Not at all satisfied","71-80 hours","Neither agree nor disagree","Strongly disagree","No",NA,"Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6123",6123,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Somewhat satisfied","Improved slightly","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","5","61-70 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"6124",6124,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"Yes","To help make ends meet","10th","Somewhat satisfied","Worsened a little","Meets original expectations","5","Between one and three hours","4 = Neither satisfied nor dissatisfied","61-70 hours","Somewhat agree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"Yes","Racial discrimination or harassment"
"6125",6125,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"Yes","To help make ends meet","11th","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","2","31-40 hours","Neither agree nor disagree","Somewhat agree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"Yes","Racial discrimination or harassment"
"6126",6126,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"Yes","Other, please specify","13th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Somewhat disagree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6127",6127,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"Yes","To make myself more attractive to future employers","2nd","Very satisfied","Improved slightly","Meets original expectations","6","More than three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"6128",6128,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"3rd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","2","41-50 hours","Somewhat disagree","Somewhat disagree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","No",NA,NA,"No",NA
"6129",6129,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Less than an hour","7 = Extremely satisfied","41-50 hours","Somewhat agree","Somewhat agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"6130",6130,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,NA,"Very satisfied","Improved greatly","Meets original expectations","4 = Neither satisfied nor dissatisfied","More than three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Yes","Other academic staff member","No","No",NA
"6131",6131,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Lack of funding opportunities in my home country","No",NA,"2nd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","2","Other, please specify","3","31-40 hours","Strongly disagree","Somewhat agree","Prefer not to say",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"6132",6132,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"7th","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","More than three hours","3","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","Yes, it was helpful","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"6133",6133,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","5","31-40 hours","Strongly agree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6134",6134,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"Yes","To develop additional skills","4th","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","2","61-70 hours","Strongly disagree","Somewhat disagree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Yes","Supervisor","No","Yes","Sexual harassment"
"6135",6135,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"4th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes","Supervisor","No","No",NA
"6136",6136,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"3rd","Very dissatisfied","Significantly worsened","Does not meet original expectations","5","Less than an hour","1 = Not at all satisfied","51-60 hours","Strongly disagree","Strongly agree","Yes","Yes, it was helpful","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Yes","Other academic staff member","No","Yes",NA
"6137",6137,"25 - 34","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","No job I want is available without a PhD","Yes","North or Central America",NA,"Yes","To help make ends meet","4th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","61-70 hours","Strongly disagree","Strongly agree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6138",6138,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Stayed the same","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","5","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6139",6139,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Africa",NA,"No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","6","61-70 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"6140",6140,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"12th","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","6","Less than an hour","5","31-40 hours","Somewhat disagree","Strongly agree","Yes","Yes, it was helpful","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6141",6141,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","Very satisfied","Stayed the same","Exceeds original expectations","6","More than three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6142",6142,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Africa",NA,"Yes","To help make ends meet","2nd","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","3","21-30 hours","Somewhat disagree","Strongly agree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Yes","Supervisor","No","Yes","Age discrimination"
"6143",6143,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Lack of funding opportunities in my home country","No",NA,"1st","Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","6","61-70 hours","Somewhat disagree","Strongly agree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"6144",6144,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"7th","Very satisfied","Worsened a little","Meets original expectations","3","Less than an hour","5","41-50 hours","Somewhat agree","Neither agree nor disagree","Yes","Yes, it was helpful","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"Yes","Sexual harassment"
"6145",6145,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","To study at a specific university","No",NA,"3rd","Somewhat satisfied","Worsened a little","Meets original expectations","2","Between one and three hours","3","61-70 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"6146",6146,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"5th","Very satisfied","Stayed the same","Exceeds original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","61-70 hours","Somewhat agree","Somewhat disagree","Yes","Yes, it was helpful","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Yes","Another student","Yes","No",NA
"6147",6147,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"2nd","Somewhat satisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","Yes, it was helpful","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"Yes","Gender discrimination"
"6148",6148,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","Asia (including Middle East)",NA,"No",NA,"4th","Somewhat dissatisfied","Worsened a little","Does not meet original expectations","5","Between one and three hours","2","11-20 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6149",6149,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Chance to pursue a specific research question","No",NA,"1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","3","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","No",NA,NA,"No",NA
"6150",6150,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,NA,"Very satisfied","Improved slightly","Exceeds original expectations","6","Less than an hour","6","51-60 hours","Strongly agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6151",6151,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"5th","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","6","41-50 hours","Strongly agree","Strongly disagree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6152",6152,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat dissatisfied","Worsened a little","Does not meet original expectations","3","Less than an hour","2","51-60 hours","Somewhat disagree","Strongly agree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","No",NA,NA,"No",NA
"6153",6153,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,NA,"Very satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","5","41-50 hours","Somewhat agree","Strongly disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"6154",6154,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Chance to pursue a specific research question","No",NA,"3rd","Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Between one and three hours","3","31-40 hours","Somewhat agree","Somewhat disagree","No",NA,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","Yes","Yes","Racial discrimination or harassment"
"6155",6155,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Very satisfied","Stayed the same","Meets original expectations","5","Less than an hour","6","41-50 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"6156",6156,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To experience another culture","No",NA,"3rd","Very satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Postdoc","No","No",NA
"6157",6157,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"Yes","To help make ends meet","11th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","2","Between one and three hours","1 = Not at all satisfied","21-30 hours","Somewhat disagree","Strongly agree","No",NA,"Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","No",NA,NA,"No",NA
"6158",6158,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"6th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","2","More than 80 hours","Somewhat disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"6159",6159,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to live in another country","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Somewhat satisfied","Worsened a little","Does not meet original expectations","1 = Not at all satisfied","Between one and three hours","3","51-60 hours","Strongly disagree","Somewhat agree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Yes","Supervisor","No","Yes","Age discrimination"
"6160",6160,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","No",NA,NA,"No",NA
"6161",6161,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"10th","Somewhat satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","6","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"6162",6162,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"2nd","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","3","51-60 hours","Strongly agree","Strongly disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6163",6163,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"9th","Somewhat satisfied","Improved slightly","Meets original expectations","5","Other, please specify","5","41-50 hours","Somewhat agree","Somewhat disagree","Yes","Yes, it was helpful","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Yes","Another student","Unsure","No",NA
"6164",6164,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","No",NA,NA,"No",NA
"6165",6165,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"Yes","To help make ends meet",NA,"Somewhat satisfied","Worsened a little","Does not meet original expectations","5","Between one and three hours","3","41-50 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"6166",6166,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,"2nd","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","6","51-60 hours","Strongly agree","Somewhat disagree","No",NA,"Strongly agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6167",6167,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of PhD programmes in my subject of choice","No",NA,"3rd","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","4 = Neither satisfied nor dissatisfied","61-70 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6168",6168,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"Yes","To develop additional skills","5th","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","6","31-40 hours","Strongly agree","Somewhat disagree","Yes","Yes, it was helpful","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Yes","Other academic staff member","Unsure","No",NA
"6169",6169,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,NA,"Very dissatisfied","Improved greatly","Meets original expectations","6","More than three hours","5","51-60 hours",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,"No",NA
"6170",6170,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"6th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","5","Between one and three hours","1 = Not at all satisfied","51-60 hours","Neither agree nor disagree","Strongly agree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"6171",6171,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of funding opportunities in my home country","No",NA,"3rd","Somewhat satisfied","Worsened a little","Does not meet original expectations","2","Less than an hour","5","51-60 hours","Somewhat agree","Neither agree nor disagree","Yes","Yes, it was helpful","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes","Sexual harassment"
"6172",6172,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Family reasons","No",NA,"6th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","3","Between one and three hours","3","71-80 hours","Neither agree nor disagree","Strongly agree","No",NA,"Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6173",6173,"25 - 34","Gender queer / Non binary","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"3rd","Somewhat dissatisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","5","21-30 hours","Somewhat agree","Somewhat agree","Yes","Yes, it was helpful","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"6174",6174,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"6th","Somewhat dissatisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","5","31-40 hours","Somewhat agree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"Yes","Gender discrimination"
"6175",6175,"35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"Yes","To develop additional skills","1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Less than an hour","7 = Extremely satisfied","31-40 hours","Strongly agree","Strongly agree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6176",6176,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,"6th","Very satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","1 = Not at all satisfied","More than 80 hours","Strongly disagree","Strongly agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6177",6177,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"4th","Very satisfied","Improved slightly","Exceeds original expectations","6","Less than an hour","6","51-60 hours","Strongly agree","Somewhat disagree","Yes","Yes, it was helpful","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6178",6178,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"3rd","Neither satisfied nor dissatisfied","Worsened a little","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","5","31-40 hours","Strongly agree","Somewhat disagree","Yes","Yes, it was helpful","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
